Model,FOV,Cluster_Key,Gene,Gene_Purity
Cellpose,15-16,cluster_0.80,MS4A1,0.6214575171470642
Cellpose,15-16,cluster_0.80,TRAC,0.5202687382698059
Cellpose,15-16,cluster_0.85,CD19,0.7907769083976746
Cellpose,15-16,cluster_0.85,CD3E,0.6642937660217285
Cellpose,15-16,cluster_0.85,CD79A,0.6792817115783691
Cellpose,15-16,cluster_0.85,IL7R,0.6045454740524292
Cellpose,15-16,cluster_0.85,MS4A1,0.6264919638633728
Cellpose,15-16,cluster_0.85,TRAC,0.5304006338119507
Cellpose,17-18,cluster_0.20,CD19,0.8719528317451477
Cellpose,17-18,cluster_0.20,CD3E,0.725227415561676
Cellpose,17-18,cluster_0.20,CD79A,0.786854088306427
Cellpose,17-18,cluster_0.20,IL7R,0.7030006647109985
Cellpose,17-18,cluster_0.20,MS4A1,0.7725984454154968
Cellpose,17-18,cluster_0.20,TRAC,0.5368794202804565
Cellpose,17-18,cluster_0.45,CD19,0.8244962692260742
Cellpose,17-18,cluster_0.45,CD3E,0.7253652215003967
Cellpose,17-18,cluster_0.45,CD79A,0.7134124636650085
Cellpose,17-18,cluster_0.45,IL7R,0.7020944356918335
Cellpose,17-18,cluster_0.45,MS4A1,0.6817233562469482
Cellpose,17-18,cluster_0.45,TRAC,0.5382288098335266
Cellpose,17-18,cluster_0.50,CD19,0.8151311278343201
Cellpose,17-18,cluster_0.50,CD3E,0.6995399594306946
Cellpose,17-18,cluster_0.50,CD79A,0.7046105265617371
Cellpose,17-18,cluster_0.50,IL7R,0.648102343082428
Cellpose,17-18,cluster_0.50,MS4A1,0.6714256405830383
Cellpose,17-18,cluster_0.50,TRAC,0.49596163630485535
Cellpose,17-18,cluster_0.55,CD19,0.8087029457092285
Cellpose,17-18,cluster_0.55,CD3E,0.6956177353858948
Cellpose,17-18,cluster_0.55,CD79A,0.6968719363212585
Cellpose,17-18,cluster_0.55,IL7R,0.6446665525436401
Cellpose,17-18,cluster_0.55,MS4A1,0.6637028455734253
Cellpose,17-18,cluster_0.55,TRAC,0.49302661418914795
